Dataset,Mean Result,Stddev Result,alpha
esol,1.4683000429706645,0.05854894575856775,1e-07
esol,1.5062397975804107,0.11918359920972009,1e-06
esol,1.501719108512156,0.0236389629422592,1e-05
esol,1.4049449429150063,0.05505096652231295,0.0001
esol,1.4532491067382487,0.03750770260438988,0.001
esol,1.5501949606392122,0.14053423827824457,0.01
esol,1.4281741399009522,0.04379795865059894,0.1
esol,1.4545331811794373,0.08136755530357129,0.5
esol,1.4777058035622916,0.05573893543374381,1.0
freesolv,3.082660676768299,0.21682058909368962,1e-07
freesolv,3.0538087214536933,0.23242648672477229,1e-06
freesolv,3.515184194377315,1.0046362489815601,1e-05
freesolv,2.966754729393149,0.21496575076008081,0.0001
freesolv,3.5120175371596467,0.5966034386790411,0.001
freesolv,3.148404577884342,0.6061831437002515,0.01
freesolv,3.61285029827268,0.46384584200983225,0.1
freesolv,2.850033173498386,0.31183028226858844,0.5
freesolv,3.3166819160752077,0.37794286902397467,1.0
lipophilicity,0.8717279391721245,0.011034419212043867,1e-07
lipophilicity,0.8769056025885793,0.02435964258356774,1e-06
lipophilicity,0.8758598644530561,0.003588821384246348,1e-05
lipophilicity,0.8546990581310515,0.005754889572512793,0.0001
lipophilicity,0.8574916294244294,0.00327544441226792,0.001
lipophilicity,0.8787222604986313,0.009271412672282358,0.01
lipophilicity,0.8795634867660759,0.018365402491490303,0.1
lipophilicity,0.8543282683891688,0.01328637566282233,0.5
lipophilicity,0.8601618751579491,0.021671565487905758,1.0
qm7,115.03468461177708,9.691454668847141,1e-07
qm7,103.92789378488744,5.895987471258786,1e-06
qm7,100.0117651522084,12.080539781148122,1e-05
qm7,111.99698191071674,5.493752094420924,0.0001
qm7,104.80765547313474,7.090646919168686,0.001
qm7,110.83239834027272,7.114434692456377,0.01
qm7,107.15818492109338,7.969111436541417,0.1
qm7,93.97545094882412,2.5517295286614807,0.5
qm7,104.20893964090715,6.576437546763721,1.0
qm8,0.020172812702340934,0.0004536846333970164,1e-07
qm8,0.019982515985693835,0.00042780898474958814,1e-06
qm8,0.019622864918484365,0.00023239715100972452,1e-05
qm8,0.0198492857526461,0.0002622251755036113,0.0001
qm8,0.019761777347997934,0.0005016593174631377,0.001
qm8,0.019767398183190166,0.0005050006377761832,0.01
qm8,0.020175246715655865,0.0005136535818985889,0.1
qm8,0.021247064713856,0.00044563672487966423,0.5
qm8,0.021857967088399,0.00029924214740466347,1.0
bace,0.7985277922680113,0.005223241821552547,1e-07
bace,0.7804439807569699,0.03313110077272956,1e-06
bace,0.729032632006028,0.050343300734586725,1e-05
